time,message_type,data_value,channel,combined_time_value
0.000448,control_change,0,0,448
0.000896,control_change,0,0,448
0.001344,control_change,0,0,448
0.001792,control_change,0,0,448
0.00224,control_change,0,0,448
0.002688,control_change,0,0,448
0.003136,control_change,0,0,448
0.003584,control_change,0,0,448
0.004032,control_change,0,0,448
0.00448,control_change,0,0,448
0.004928,control_change,0,0,448
0.005376,control_change,0,0,448
0.005824,control_change,0,0,448
0.006272,control_change,0,0,448
0.00672,control_change,0,0,448
0.007168,control_change,0,0,448
0.007616,control_change,0,0,448
0.008064,control_change,0,0,448
0.008512,control_change,0,0,448
0.00896,control_change,0,0,448
0.009408,control_change,0,0,448
0.009856,control_change,0,0,448
0.010304,control_change,0,0,448
0.010752,control_change,0,0,448
0.0112,control_change,0,0,448
0.011648,control_change,0,0,448
0.012096,control_change,0,0,448
0.012544,control_change,0,0,448
0.012992,control_change,0,0,448
0.01344,control_change,0,0,448
0.013888,control_change,0,0,448
0.014336,control_change,0,0,448
0.014784,control_change,0,0,448
0.015232,control_change,0,0,448
0.01568,control_change,0,0,448
0.016128,control_change,0,0,448
0.016576,control_change,0,0,448
0.017024,control_change,0,0,448
0.017472,control_change,0,0,448
0.01792,control_change,0,0,448
0.018368,control_change,0,0,448
0.018816,control_change,0,0,448
0.019264,control_change,0,0,448
0.019712,control_change,0,0,448
0.02016,control_change,0,0,448
0.020608,control_change,0,0,448
0.021056,control_change,0,0,448
0.021504,control_change,0,0,448
0.021952,control_change,0,0,448
0.0224,control_change,0,0,448
0.022848,control_change,0,0,448
0.023296,control_change,0,0,448
0.023744,control_change,0,0,448
0.024192,control_change,0,0,448
0.02464,control_change,0,0,448
0.025088,control_change,0,0,448
0.025536,control_change,0,0,448
0.025984,control_change,0,0,448
0.026432,control_change,0,0,448
0.02688,control_change,0,0,448
0.027328,control_change,0,0,448
0.027776,control_change,0,0,448
0.028224,control_change,0,0,448
0.028672,control_change,0,0,448
0.02912,control_change,0,0,448
0.029568,control_change,0,0,448
0.030016,control_change,0,0,448
0.030464,control_change,0,0,448
0.030912,control_change,0,0,448
0.03136,control_change,0,0,448
0.031808,control_change,0,0,448
0.032256,control_change,0,0,448
0.032704,control_change,0,0,448
0.033152,control_change,0,0,448
0.0336,control_change,0,0,448
0.034048,control_change,0,0,448
0.034496,control_change,0,0,448
0.034944,control_change,0,0,448
0.035392,control_change,0,0,448
0.03584,control_change,0,0,448
0.036288,control_change,0,0,448
0.036736,control_change,0,0,448
0.037184,control_change,0,0,448
0.037632,control_change,0,0,448
0.03808,control_change,0,0,448
0.038528,control_change,0,0,448
0.038976,control_change,0,0,448
0.039424,control_change,0,0,448
0.039872,control_change,0,0,448
0.04032,control_change,0,0,448
0.040768,control_change,0,0,448
0.041216,control_change,0,0,448
0.041664,control_change,0,0,448
0.042112,control_change,0,0,448
0.04256,control_change,0,0,448
0.043008,control_change,0,0,448
0.043456,control_change,0,0,448
0.043904,control_change,0,0,448
0.044352,control_change,0,0,448
0.0448,control_change,0,0,448
0.045248,control_change,0,0,448
0.045696,control_change,0,0,448
0.046144,control_change,0,0,448
0.046592,control_change,0,0,448
0.04704,control_change,0,0,448
0.047488,control_change,0,0,448
0.047936,control_change,0,0,448
0.048384,control_change,0,0,448
0.048832,control_change,0,0,448
0.04928,control_change,0,0,448
0.049728,control_change,0,0,448
0.050176,control_change,0,0,448
0.050624,control_change,0,0,448
0.051072,control_change,0,0,448
0.05152,control_change,0,0,448
0.051968,control_change,0,0,448
0.052416,control_change,0,0,448
0.052864,control_change,0,0,448
0.053312,control_change,0,0,448
0.05376,control_change,0,0,448
0.054208,control_change,0,0,448
0.054656,control_change,0,0,448
0.055104,control_change,0,0,448
0.055552,control_change,0,0,448
0.056,control_change,0,0,448
0.056456,control_change,0,0,456
0.056896,control_change,0,0,440
0.057344,control_change,0,0,448
0.057792,control_change,0,0,448
0.05824,control_change,0,0,448
0.058688,control_change,0,0,448
0.059136,control_change,0,0,448
0.059584,control_change,0,0,448
0.060032,control_change,0,0,448
0.06048,control_change,0,0,448
0.060928,control_change,0,0,448
0.061376,control_change,0,0,448
0.061824,control_change,0,0,448
0.062272,control_change,0,0,448
0.06272,control_change,0,0,448
0.063168,control_change,0,0,448
0.063616,control_change,0,0,448
0.064064,control_change,0,0,448
0.064512,control_change,0,0,448
0.06496,control_change,0,0,448
0.065408,control_change,0,0,448
0.065856,control_change,0,0,448
0.066304,control_change,0,0,448
0.066752,control_change,0,0,448
0.0672,control_change,0,0,448
0.067648,control_change,0,0,448
